Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Ґерус;Христина;Софіяівна;Жіноча;1973-10-03;Економіст;хутір Кременець;проспект Мінська, буд. 3 кв. 3, Горлівка, 78843;848 79 04;ykovalenko@example.org
Тимченко;Галина;Адаівна;Жіноча;1978-01-10;Петрограф;селище Славутич;сквер Латвійський узвіз, буд. 3 кв. 6, Могилів-Подільський, 35479;645-90-94;lukian78@example.com
Бевзенко;Кирило;Орхипович;Чоловіча;1954-12-27;Електромонтажник;хутір Рахів;площа Велика Садова, буд. 788, Христинівка, 88627;073 386 64 68;lhrytsenko@example.net
Гавриленко;Ганна;Юстинаівна;Жіноча;1977-09-18;Гірник;селище Донецьк;провулок Героїв Крут, буд. 340, Нова Одеса, 92526;723-64-11;klavdiia48@example.net
Ірванець;Дан;Віталійович;Чоловіча;1999-06-29;Історик;селище Українськ;провулок 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 592 кв. 816, Голубівка, 06410;902 53 98;tperebyinis@example.org
Джус;Лукʼян;Васильович;Чоловіча;2001-05-30;Конструктор;хутір Подільськ;провулок Ламаний, буд. 89 кв. 9, Чистякове, 69754;+380 60 710-76-94;sviatoslava14@example.com
Баштан;Пантелеймон;Андрійович;Чоловіча;1941-03-14;Кінолог;селище Вараш;вулиця Маяковського, буд. 9 кв. 14, Деражня, 73580;+380 88 662-87-10;dzhunfrants@example.net
Єрченко;Орхип;Феофанович;Чоловіча;1998-03-15;Літературознавець;селище Кам'янка-Бузька;шосе Заводська 3-тя, буд. 5 кв. 545, Тальне, 86554;+380 26 806-87-82;leontiiriabovil@example.net
Ковалюк;Олена;Христинаівна;Жіноча;1985-11-05;Єгер;хутір Сулимівка (Слов'янськ);узвіз Базарна, буд. 9, Кролевець, 80084;+380 59 981-18-81;zzaruba@example.net
Христич;Світлана;Людмилаівна;Жіноча;1944-08-31;Пілот;місто Дніпро ;узвіз Дальня, буд. 535, Мирноград, 53965;519 95 74;deibozhenko@example.org
Матяш;Марта;Соломіяівна;Жіноча;1967-09-12;Музикознавець;хутір Вінниця;провулок Проїзний 3-й, буд. 09 кв. 25, Гайворон, 49837;+380 32 039-29-77;tarasriabovil@example.net
Червоненко;Віктор;Орестович;Чоловіча;1939-10-25;Провізор;хутір Узин;проспект Слєпньова, буд. 50, Вознесенськ, 62739;+380 04 888 87 93;jnosachenko@example.org
Токар;Демид;Опанасович;Чоловіча;1994-03-21;Футболіст;село Бершадь;площа Туристська, буд. 561, Токмак, 85611;031 919 01 69;maksymaleksandrenko@example.com
Штокало;Роман;Антонович;Чоловіча;1992-02-06;Редактор;хутір Липовець;шосе Соборна, буд. 2, Тульчин, 20019;+380 23 128 60 75;panteleimon01@example.net
Баранець;Віолетта;Галинаівна;Жіноча;1969-09-10;Хореограф;село Володимир-Волинський;шосе Лиманчик 2-й Лінія 9-та, буд. 0, Кадіївка, 21800;008 011 51 51;alukash@example.net
Вівчаренко;Устим;Арсенович;Чоловіча;1967-06-01;Промисловець;селище Вишневе ;сквер Кільцева, буд. 3, Чистякове, 74467;099 877-16-46;liudmyla76@example.net
Вовк;Єфрем;Мартинович;Чоловіча;1965-09-06;Промисловець;місто Болехів;шосе М’ясоєдовська, буд. 06, Українськ, 79881;+380 (01) 551-98-67;tychynavasyl@example.org
Чайка;Леонтій;Богуславович;Чоловіча;1944-10-06;Актор;село Збараж;вулиця Польська, буд. 74 кв. 45, Тульчин, 91993;+380 (57) 995-80-43;zorianbandura@example.org
Козаченко;Марʼяна;Володимираівна;Жіноча;2008-12-11;Футболіст;місто Золочів;сквер Пересипська 4-та, буд. 15, Скадовськ, 69280;+380 86 375-07-52;kolesnychenkobohdan@example.org
Артимович;Ганна;Людмилаівна;Жіноча;2001-08-10;Драматург;селище Гребінка;площа Абрикосовий, буд. 353 кв. 8, Сокиряни, 23041;249 52 39;snizhanavakulenko@example.org
Стельмах;Кирило;Ярославович;Чоловіча;1946-05-08;Менеджер;хутір Чоп;площа Роздольна, буд. 733, Лозова , 55057;941-37-41;ishchakartem@example.com
Зінчук;Златослава;Надіяівна;Жіноча;1994-05-23;Мікробіолог;село Нове Давидково;провулок Артилерійська, буд. 4, Полонне, 20119;374 59 87;gmazur@example.net
Забара;Макар;Ростиславович;Чоловіча;1946-09-08;Футболіст;селище Ірміно;шосе Андрійця Олега, буд. 7 кв. 90, Бахмут, 89859;+380 97 399-60-34;oleksandr49@example.com
Приходько;Миколай;Спасович;Чоловіча;1964-01-01;Слідчий;селище Марганець ;проспект Іванівський переїзд, буд. 332 кв. 599, Білогірськ, 29314;049 982 29 39;adam25@example.net
Свириденко;Одарка;Наталіяівна;Жіноча;1983-04-07;Секретар;місто Старобільськ;проспект Дукова, буд. 04 кв. 4, Брянка, 37642;+380 29 352-04-21;yonishchuk@example.net
Рубан;Гордій;Степанович;Чоловіча;1957-02-13;Продюсер;село Зугрес;площа Магнітогорська, буд. 69, Хоростків, 19880;+380 (38) 849-26-30;nvasylenko@example.net
Охримович;Алла;Одаркаівна;Жіноча;1994-06-20;Кінокритик;село Новомосковськ;провулок Східний 2-й, буд. 846 кв. 4, Гребінка, 54960;+380 29 794-58-43;utverdokhlib@example.net
Деревʼянко;Тарас;Михайлоович;Чоловіча;1944-02-20;Етнограф;село Буча;парк Куяльницький міст, буд. 822, Харцизьк, 67562;+380 (01) 291-62-80;valerii12@example.com
Шило;Надія;Богуславаівна;Жіноча;1965-08-24;Випробувач;село Кальміуське;площа Зоопаркова, буд. 370, Зоринськ, 35167;+380 (62) 940-42-13;hannashcherban@example.org
Гунько;Ігнат;Вадимович;Чоловіча;1982-09-28;Лікар;хутір Нововолинськ;проспект Грецька, буд. 8 кв. 106, Привілля, 57402;078 894 12 10;avrelii77@example.net
Петрик;Сніжана;Василинаівна;Жіноча;2004-01-22;Адвокат;хутір Лубни;вулиця Іванова 2-й, буд. 20 кв. 2, Остер , 30140;+380 01 898-15-28;mykhailiukiosyp@example.net
Лемешко;Веніямин;Ілляович;Чоловіча;1945-02-26;Дантист;хутір Шумськ;узвіз Качалова, буд. 597 кв. 14, Погребище, 65692;+380 91 157 25 86;allaabramchuk@example.net
Пʼятаченко;Богдан;Прохірович;Чоловіча;1995-06-05;Реабілітолог;місто Трускавець;сквер Кордонний, буд. 93 кв. 83, Миколаїв, 64656;021 420 15 71;fzinchuk@example.com
Самойленко;Пантелеймон;Трохимович;Чоловіча;1998-06-26;Гицель;місто Іловайськ;узвіз 3-тя Суворовська, буд. 09, Волочиськ, 19554;061-86-16;chubaidanna@example.org
Дзиндра;Амалія;Марусяівна;Жіноча;1949-07-01;Електротехнік;село Калинівка ;узвіз 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 078, Жашків, 17798;+380 (15) 567-87-09;zubkostanislav@example.org
Романчук;Трохим;Ілляович;Чоловіча;1980-06-12;Державний службовець;хутір Арциз;вулиця Польова, буд. 3, Волноваха, 39375;+380 58 749 11 40;kalenychenkoroksolana@example.com
Христенко;Григорій;Аврелійович;Чоловіча;1968-05-31;Різноробочий;місто Сулимівка (Слов'янськ);шосе Шевченка парк, буд. 41 кв. 088, Василівка , 61281;+380 55 413-25-33;iustym19@example.net
Ісаєвич;Одарка;Яринаівна;Жіноча;2008-01-10;Кухар;село Каховка;площа Гагарінське плато, буд. 10, Кролевець, 30184;+380 62 067-88-25;taraslukash@example.net
Бандурка;Орися;Оксеніяівна;Жіноча;1991-09-19;Мистецтвознавець;хутір Радомишль;узвіз Юннатів 3-й, буд. 096 кв. 643, Попасна, 61479;+380 64 298 89 52;nadiia26@example.net
Верменич;Одарка;Златославаівна;Жіноча;1961-09-18;Лікар;село Нетішин;парк Деревообробна, буд. 1 кв. 1, Бучач, 83687;360-38-67;rostyslav84@example.net
